"File","Lines","QtHits","Bucket"
"Canneberge\app_state.py","287","0","Likely core/data logic"
"Canneberge\config.py","36","0","Likely core/data logic"
"Canneberge\debug_capital_structure.py","126","0","Likely core/data logic"
"Canneberge\main.py","14","1","Mixed"
"Canneberge\__init__.py","0","0","Likely core/data logic"
"Canneberge\Calculations\gpc_metrics.py","45","0","Likely core/data logic"
"Canneberge\Calculations\gpc_multiples.py","187","0","Likely core/data logic"
"Canneberge\Calculations\projection_resolve.py","101","0","Likely core/data logic"
"Canneberge\Calculations\ratio_catalogue.py","356","0","Likely core/data logic"
"Canneberge\Calculations\subject_is_bs_calc.py","127","0","Likely core/data logic"
"Canneberge\Calculations\__init__.py","0","0","Likely core/data logic"
"Canneberge\Services\source_data_service.py","124","0","Likely core/data logic"
"Canneberge\Services\__init__.py","0","0","Likely core/data logic"
"Canneberge\Sources\beta_vol.py","124","0","Likely core/data logic"
"Canneberge\Sources\fred.py","34","0","Likely core/data logic"
"Canneberge\Sources\marketscreener.py","95","0","Likely core/data logic"
"Canneberge\Sources\stockanalysis.py","135","0","Likely core/data logic"
"Canneberge\Sources\__init__.py","0","0","Likely core/data logic"
"Canneberge\Transforms\period_mapper.py","28","0","Likely core/data logic"
"Canneberge\Transforms\__init__.py","0","0","Likely core/data logic"
"Canneberge\Ui\dcf_page.py","1482","28","UI-heavy"
"Canneberge\Ui\gpc_candlestick_chart.py","85","3","Mixed"
"Canneberge\Ui\gpc_page.py","941","22","UI-heavy"
"Canneberge\Ui\gt_page.py","687","15","UI-heavy"
"Canneberge\Ui\home_page.py","400","8","Mixed"
"Canneberge\Ui\main_window.py","556","15","UI-heavy"
"Canneberge\Ui\private_financials_input_page.py","467","12","UI-heavy"
"Canneberge\Ui\projection_module_page.py","762","13","UI-heavy"
"Canneberge\Ui\source_data_page.py","266","16","UI-heavy"
"Canneberge\Ui\subject_financials_page.py","498","9","Mixed"
"Canneberge\Ui\wacc_page.py","703","17","UI-heavy"
"Canneberge\Ui\__init__.py","0","0","Likely core/data logic"
"Canneberge\utils\session.py","156","0","Likely core/data logic"
"Canneberge\utils\__init__.py","0","0","Likely core/data logic"
"Canneberge\Workers\source_data_worker.py","24","1","Mixed"
"Canneberge\Workers\__init__.py","0","0","Likely core/data logic"
"Prototypes\test_app_Beta_Vol_Module.py","435","22","UI-heavy"
"Prototypes\test_app_FREDfetcher.py","220","16","UI-heavy"
"Prototypes\test_app_MarketScreenerScraper.py","443","16","UI-heavy"
"Prototypes\test_app_StockAnalysisScraper_v2.py","377","18","UI-heavy"
